2010-02-03T16:35:50.015+0000|1564|3825
2010-02-05T18:37:22.634+0000|2608|3633
2010-02-08T17:34:27.742+0000|2608|2886
2010-02-09T03:52:46.188+0000|143|1564
2010-02-09T20:38:36.222+0000|459|1259
2010-02-09T20:57:49.045+0000|94|555
2010-02-09T21:46:26.206+0000|2214|4511
2010-02-10T09:12:13.281+0000|555|3633
2010-02-10T11:35:21.044+0000|94|2608
2010-02-12T15:50:04.020+0000|2886|4231
2010-02-16T08:27:34.481+0000|2608|4555
2010-02-16T22:31:38.890+0000|2886|3705
2010-02-17T14:58:43.951+0000|143|4755
2010-02-18T01:52:25.820+0000|1103|2783
2010-02-18T13:16:33.808+0000|459|4273
2010-02-19T05:33:59.577+0000|2783|4755
2010-02-20T03:09:30.221+0000|2886|3633
2010-02-20T09:42:25.809+0000|2886|4511
2010-02-22T10:13:06.498+0000|1079|1564
2010-02-22T13:56:38.686+0000|555|4273
2010-02-22T16:53:02.979+0000|2783|4555
2010-02-22T22:00:44.754+0000|1259|3962
2010-02-22T22:40:44.610+0000|3412|4005
2010-02-23T01:31:28.966+0000|768|2783
2010-02-23T06:13:44.607+0000|143|4555
2010-02-23T17:29:54.020+0000|3412|3748
2010-02-24T08:49:08.162+0000|407|3331
2010-02-24T11:32:40.825+0000|555|3092
2010-02-24T15:07:04.548+0000|4555|4644
2010-02-25T04:49:12.821+0000|2004|4555
2010-02-25T06:35:29.578+0000|974|3705
2010-02-25T06:46:21.923+0000|3633|3748
2010-02-25T12:41:09.324+0000|1434|4555
2010-02-25T18:47:19.406+0000|1222|2783
2010-02-26T00:57:58.063+0000|1050|2783
2010-02-26T02:33:03.546+0000|2269|4555
2010-02-26T16:18:38.986+0000|2317|2530
2010-02-26T20:52:33.066+0000|3748|4831
2010-02-27T08:04:18.675+0000|683|1274
2010-02-27T21:03:36.428+0000|1490|4506
2010-02-28T01:13:36.525+0000|2608|3705
2010-02-28T03:02:39.036+0000|1222|4555
2010-02-28T11:34:42.051+0000|4577|4831
2010-02-28T21:01:42.794+0000|3192|3412
2010-02-28T22:49:20.700+0000|238|1103
2010-03-01T03:21:35.089+0000|555|2886
2010-03-01T10:35:04.159+0000|555|3412
2010-03-01T21:47:14.423+0000|3192|3633
2010-03-02T07:25:11.921+0000|143|238
2010-03-02T08:08:29.107+0000|1259|3705
2010-03-02T10:30:49.842+0000|4273|4644
2010-03-02T14:52:15.057+0000|143|3627
2010-03-03T05:31:26.652+0000|459|1160
2010-03-03T10:22:37.386+0000|150|3962
2010-03-03T15:51:37.034+0000|3412|4693
2010-03-03T22:32:39.942+0000|2783|3055
2010-03-03T22:40:09.915+0000|3412|4290
2010-03-04T01:06:32.599+0000|1355|2023
2010-03-04T02:41:01.303+0000|1131|2608
2010-03-04T13:29:50.519+0000|1077|2783
2010-03-04T16:58:11.813+0000|3633|4290
2010-03-04T20:50:58.384+0000|1922|2783
2010-03-05T02:10:06.494+0000|1490|4555
2010-03-05T02:11:35.603+0000|143|1103
2010-03-05T09:52:54.035+0000|555|3705
2010-03-06T01:59:57.460+0000|619|2783
2010-03-06T03:21:00.553+0000|250|1481
2010-03-06T04:18:44.612+0000|3412|4273
2010-03-06T08:04:33.283+0000|555|4511
2010-03-06T11:44:53.998+0000|459|1564
2010-03-06T13:16:23.147+0000|555|4831
2010-03-06T15:24:01.539+0000|1269|4139
2010-03-06T15:39:49.061+0000|96|4273
2010-03-06T23:04:34.025+0000|1269|2608
2010-03-07T04:45:06.832+0000|3633|4688
2010-03-07T07:50:31.095+0000|1148|3962
2010-03-07T08:13:59.324+0000|2608|4231
2010-03-07T10:02:09.871+0000|2783|4281
2010-03-07T11:49:21.950+0000|932|3716
2010-03-07T13:25:05.648+0000|987|3670
2010-03-07T13:57:48.606+0000|3924|4688
2010-03-07T14:58:08.046+0000|1481|2317
2010-03-07T16:26:47.897+0000|3412|4577
2010-03-07T17:26:32.853+0000|2608|3192
2010-03-08T03:25:43.473+0000|1949|4848
2010-03-08T05:35:59.015+0000|3412|3705
2010-03-08T10:50:09.784+0000|4178|4848
2010-03-08T13:19:12.162+0000|3748|3924
2010-03-08T17:19:20.893+0000|238|4178
2010-03-08T19:18:22.542+0000|1355|4273
2010-03-08T20:21:39.286+0000|2191|4139
2010-03-08T23:43:44.233+0000|150|2588
2010-03-09T02:51:11.571+0000|143|1219
2010-03-09T06:08:51.942+0000|1242|4624
